CO_CEP,Latitude,Longitude
88108100,-27.5960838,-48.6229341
96055035,-31.7401885,-52.3448207
29845000,-18.5227018,-40.3093829
35455060,-20.2457418,-43.8017062
11535380,-23.8778401,-46.4162557
26535330,-22.8060269,-43.4311271
85139400,-25.5659527,-51.4747222
58980000,-7.4997862,-38.4034987
4860130,-23.7617059,-46.7124331
21630190,-22.9080777,-43.1790268
5801050,-23.5383214,-46.6391624
8122260,-23.5383214,-46.6391624
5421001,-23.5636084,-46.6929726
88132620,-27.6773193,-48.6674777
31080270,-19.9227318,-43.9450948
12919526,-22.9370637,-46.5548847
74948220,-16.8020159,-49.3537439
84040010,-25.0156835,-50.1390555
91760060,-30.1365952,-51.2252121
91560640,-30.1108543,-51.1129733
55006262,-8.2695417,-36.0165485
74932290,-16.8020159,-49.3537439
8022290,-23.5383214,-46.6391624
25716190,-22.3880004,-43.1752593
42738830,-12.8751773,-38.3399593
60183675,-3.7304512,-38.5217989
38300095,-18.9921507,-49.4455477
22471006,-22.9080777,-43.1790268
25995160,-22.3838386,-42.8789861
18040325,-23.5085714,-47.4710234
9792420,-23.7080345,-46.5506747
8347600,-23.5383214,-46.6391624
70390060,-15.80676,-47.9051185
52011040,-8.0473638,-34.9000982
37834206,-21.2613809,-46.6184235
79200000,-20.4718752,-55.7958712
4564003,-23.5383214,-46.6391624
41390340,-12.9822499,-38.4812772
41334320,-12.9822499,-38.4812772
54420140,-8.1165339,-35.0199865
78095170,-15.5986686,-56.0991301
99700302,-27.6303525,-52.2749774
75513488,-18.3951497,-49.2978345
24942285,-22.9176473,-42.9347477
74394220,-16.680882,-49.2532691
58056010,-7.2095913,-34.8407411
73807635,-15.5444966,-47.3404769
14094030,-21.2011506,-47.7851607
27165000,-22.4653272,-43.8215615
41927160,-12.9822499,-38.4812772
97501603,-29.7612557,-57.0585244
2403020,-23.5383214,-46.6391624
7060021,-23.4587244,-46.5462358
22421000,-22.9080777,-43.1790268
96030000,-31.762896,-52.3742987
30750050,-19.9227318,-43.9450948
76806488,-8.7029077,-63.8744934
63091215,-7.3121067,-39.3036427
89665000,-27.3662354,-51.5892874
14090180,-21.2011506,-47.7851607
18873440,-23.3876531,-49.5094297
56320790,-9.4026734,-40.5548749
13416218,-21.993173,-47.3333435
55030240,-8.2988497,-35.9746088
41481205,-12.9822499,-38.4812772
