cod_escola,nota_enem
11042028,1066.411875
11043857,1430.4264285714285
11045639,1372.8375
11045914,1000.1378378378378
11046740,1160.7464285714286
11046953,1039.48
11047208,1165.4871621621621
11047216,1001.6934782608695
11048018,1051.0773255813954
11048247,905.7821428571428
11048441,1185.5875
11048450,1167.2546666666667
11048557,1374.945
11048956,1154.0985849056603
11049014,1078.4895833333333
11049073,1402.8074074074075
11049430,1055.9834999999998
11049634,1212.8339805825244
11049723,1480.528409090909
11049812,1013.0911764705883
11049855,1000.0708333333334
11049936,1066.2873239436622
11049960,1208.0586309523808
11050233,1081.8173076923076
11050322,1263.238782051282
11050349,1060.9361111111111
11050373,1249.9633333333331
11050578,840.8321428571428
11050870,1153.244642857143
11104805,976.5954545454545
11106808,1293.1228846153845
11106859,906.4459999999999
11106867,1085.45
11107804,1226.6611363636362
11108800,1194.6343023255813
11109807,1275.5803066037736
11109815,1247.9665584415584
11113804,924.3619047619047
12000418,1056.5584394904458
12000450,1043.3183908045976
12000531,835.3441176470589
12000906,1021.2823529411764
12000914,1068.604487179487
12000930,1035.7897727272727
12000973,1015.7428571428571
12001015,1144.1027777777776
12001686,1269.48
12001805,942.0125
12001945,1003.7711538461539
12002046,1074.0495454545453
12003050,980.753488372093
12003760,904.2833333333333
12004170,888.835
12004197,1041.4053571428572
12004847,784.19375
12005398,765.2285714285714
12005711,966.5014705882352
12005894,892.4447674418604
12006920,999.1994444444443
12007412,1006.9026315789474
12007617,1036.7078124999998
12009369,1025.9708333333333
12009725,1087.2935483870967
12010731,968.6735294117648
12010928,1182.8479166666666
12010936,1448.0061855670103
12011410,1285.45
12011428,1170.9205263157896
12011444,1040.420541401274
12011517,1001.6642473118279
12011584,1035.074418604651
12012017,1197.0296116504853
12012106,1027.714095744681
12012181,1114.59171875
12012360,1060.4695652173914
12012556,1129.306129032258
12012564,1000.3191780821918
12012580,1161.6589552238806
12012750,1066.1956140350876
12012904,1154.0506944444444
12013242,1018.5805084745764
12013340,1198.935251046025
12013510,1019.05
12013595,931.6833333333334
12013889,785.1125000000001
12014001,959.3472222222222
12014036,800.755
12014052,1004.7789772727272
12014060,809.97
12014125,916.0062499999999
12014370,1257.4397727272726
12014877,1009.83
12015172,805.875
12015326,971.533
12015334,1143.5518181818184
12015342,1016.55
12015946,985.7883928571429
12016284,954.7808823529413
12017060,956.428125
12017540,980.7975
12018422,1040.2464285714286
12020249,995.6954887218044
12020680,940.5944444444444
12021768,1031.3590163934427
12022004,1037.4131578947367
12022969,1393.1992424242426
12023710,800.5777777777778
12023779,1049.522159090909
12026328,976.3503424657533
12026409,1368.263095238095
12026530,1269.4052631578948
12026697,863.082
12026948,1002.6940476190478
12027340,1027.1625
12027359,1049.44375
12027758,987.2811946902655
12028037,1110.3921232876712
12028835,1461.5105263157893
12028851,948.2678571428571
12028860,1224.6075819672133
12029718,949.4321428571428
12030058,1441.2580508474575
12030155,936.0703125
12030899,939.8299999999999
12030937,1135.0230088495575
12030945,1183.2734126984128
12030953,1109.075462962963
12030961,1278.4148
12031674,1035.2104430379748
12031682,1525.7447916666667
12031755,895.6600000000001
12032115,714.325
12032166,1035.8115853658537
12032271,1066.85
12032441,1120.3101851851852
12032611,802.90625
12032859,1190.465909090909
12033162,889.2316666666667
12033189,831.275
12033359,1288.1929752066117
12033367,1250.864903846154
12033421,972.0791666666667
12033537,1278.046686746988
12033545,1219.1472222222224
12033790,1111.516037735849
12033898,961.88125
12034568,1031.7132142857142
12044636,1043.8818548387098
12044822,1073.3368421052633
12052221,995.6511764705882
12091260,956.79375
12128236,974.8113636363637
13000136,951.7223684210526
13000403,867.06875
13000411,1056.6515625
13000837,834.3597826086957
13001396,1015.0795918367347
13004255,939.9488372093024
13004964,957.0162499999999
13005081,857.7975694444444
13006614,890.9666666666666
13007203,902.422554347826
13007351,955.5269607843137
13007734,966.3435294117646
13008196,571.1184782608696
13008200,768.6025
13008455,851.2357142857143
13008552,888.6542452830188
13009010,989.9642857142857
13011413,908.315625
13012096,880.7703125
13012533,921.9341397849463
13012568,616.7625
13013076,1057.2223684210526
13013246,913.4796875000001
13013793,919.0434210526316
13013815,869.8444444444444
13014242,919.1326923076923
13014781,845.2281250000001
13014803,946.4495833333333
13014846,1006.1150537634409
13015370,665.3398148148148
13015397,918.8527777777778
13016318,900.3753623188406
13016776,867.3546666666666
13016792,858.8708333333334
13018221,847.550462962963
13018302,853.3568965517242
13019007,989.4181818181819
13020269,929.9315789473684
13020803,976.85234375
13020811,927.4475806451612
13021010,942.3035714285714
13021028,911.9027027027028
13021036,1106.2285714285713
13021052,1095.4777777777776
13021354,966.8092105263157
13021362,1060.3940476190478
13021630,901.8658805031447
13021648,910.1716666666666
13022644,801.877027027027
13022652,889.0769230769231
13022695,871.7884057971014
13022725,1001.0228426395938
13024205,683.5071428571429
13024230,974.7405882352941
13024264,691.3619047619047
13024990,982.960775862069
13025082,1223.3602941176468
13025104,937.3613636363636
13025139,996.034375
13025228,1182.978504672897
13025295,1150.344758064516
13025333,1148.7857142857142
13025376,1167.4200892857143
13025694,1216.75
13025767,954.3541666666667
13025872,1489.9288095238096
13026020,1292.228125
13026194,1345.5648496240601
13026321,1209.771875
13026356,1114.5821428571428
13026402,1300.282110091743
13026470,1087.2034638554217
13026488,1397.745542635659
13026496,1091.614705882353
13026500,1315.3214285714287
13026550,997.1480263157894
13026577,1263.4504601226995
13026585,1395.07
13026631,1454.9444444444443
13026844,1134.5323412698413
13026950,1271.7627450980394
13027123,978.0155523255814
13027131,1062.0921140939597
13027158,986.1533333333333
13027255,985.1142857142856
13027280,908.8419463087248
13027310,1085.4624999999999
13027328,991.5024999999999
13027344,952.135
13027549,996.1690000000001
13027573,982.2901315789475
13027590,970.0551724137931
13027620,922.5784090909091
